type,choreographer,label
L,Shlomo Bachar,Anachnu Nisharim Ba'arets (L)
P,Chayim Shiryon,Anachnu Nisharim Ba'arets (P)
C,Michael Barzelai,Anachnu Po
C,Gadi Bitton,Anachnu Shneinu Meoto Hakfar
C,Meir Shem Tov,Anahiya
C,Avner Naim,Anana
P,Shlomo Maman,Ananim (Shlomo Maman)
P,"Mishel Cohen, Gil","Ananim (Mishel Cohen, Gil)"
C,Dudu Barzilay,Anashim Anashim
C,"Mali Lipson, Moshe",Anashim Baolam
C,Shlomo Maman,Anashim Ohavim Lashir
P,Raanan Mor,Anashim Smechim BeCuba
C,Shlomo Maman,Anashim Tovim (Shlomo Maman)
C,Uri Grafit,Anashim Tovim (Uri Grafit)
C,"Gadi Bitton, Revital Golan","Anashim Tovim (Gadi Bitton, Revital Golan)"
P,Moshe Tawily,Anatseach Itach
C,Shmulik Gov Ari,Anavai
C,Sara Kletter,Anavim
P,Barry Avidan,Anavim Yafim Bakayits
P,Victor Gabbay,Anchnu Shnayim
C,Yaron Ben Simhon,Aneim Zmirot
C,Avi Levy,Aneni (Avi Levy)
C,Michael Barzelai,Aneni (Michael Barzelai)
C,Nona Malki,Aneni Aneni
C,Yaron Ben Simhon,Aneni Bashirim
C,Sharon Elkaslassy,Aneni Na (Aneni Nay Nay)
C,Dudu Barzilay,Ani Af (C)
P,Avi Levy,Ani Af (P)
C,Rachel Waitzman,Ani Af Elayich
C,"Oren Ashkenazi, Ohad Atia",Ani Ashir Lach Shir
c,Sagi Azran,Ani Atsmi Ve'emuna
P,Yankale Ziv,Ani Ba
P,Tamir Shalev,Ani Bach Shavui
C,Shimon Vered,Ani Batov
C,Eyal Ozeri,Ani Ben Adam
C,Michael Barzelai,Ani Chai
C,Israel Shiker,Ani Chay Kesev Bar
c,Ira Weisburd,Ani Chofshi
C,Adi Atiram,Ani Chozer
L,Maurice Perez,Ani Chozer Habaita (L)
P,Chayim Shiryon,Ani Chozer Habaita (P)
C,Eyal Levi 2,Ani Ektof Lach Et Hayareach
P,Erez Tabul,Ani Esh
P,Avi Amsalam,Ani Eshtage'a (Aotse Lihiot Tsilech)
P,Naftaly Kadosh,Ani Eten Lach
P,Roni Siman Tov,Ani Etsbot Lach
P,Motti Elfasy,Ani Gedalia (Gedalia Reva Ish)
C,Oren Halaly,Ani Gitara (C)
P,Tzion Sahar,Ani Gitara (P)
C,Shlomo Maman,Ani Ha'eved
P,Chayim Ochayon,Ani Holech Lama'arav (Holech Lama'arav)
PK,Levi Bar Gil,Ani Holech Levit Sha'am
C,Ya'ir Harel,Ani Holech Uva
P,Ilanit Ben Meir-Nir Agam,Ani Hu Zoro
C,Gila Solomon,Ani Kam Ve'ozev
C,Elad Shtamer,Ani Kan Bishvilech (Elad Shtamer)
C,Pazit Lahav,Ani Kan Bishvilech (Pazit Lahav)
C,Karlien Vanderperre,Ani Kashur Elayich
C,Benny Levy,Ani Kmo Dag (Ksheani Itach Ani Kmo Dag)
P,Gadi Bitton,Ani koreh Bishmech
PL,Alberto Zirlinger,Ani Kvar Lo Tinok
P,Rivka Sturman,Ani Ledodi
P,Shmulik Gov Ari,Ani Ledodi Vedodi Li (Elul)
C,Shlomo Bachar,Ani Li
C,"Dudu Barzilay, Moti Menahem",Ani Lo Eshkach
P,Rafi Ziv,Ani Lo Mafsik Lehitragesh
P,Mike Varon,Ani Lo Malach
P,Victor Gabbay,Ani Lo Meohav
C,Rafi Ziv,Ani Lo Mevin
C,Chen Blum,Ani Lo Rak
PW,Yaron Ben Simhon,Ani Lo Yachol - Wh.Chair
P,Yaron Ben Simhon,Ani Lo Yachol (Kvar Lo Yachol)
C,Ilan Benedict,Ani Lo Zamin
C,Avner Naim,Ani Ma'amin
P,Gadi Bitton,Ani Machur Rak Lach
c,Michael Barzelai,Ani Mamshich Lashir (c)
P,Rom Dganit,Ani Mamshich Lashir (P)
C,Victor Gabbay,Ani Mavtiach
P,Gadi Bitton,Ani Met
C,Rafi Ziv,Ani Met Alayich
C,Dudu Barzilay,Ani Met Lada'at
C,Gideon Dan,Ani Met Lichiyot
P,Ran Hirsh,Ani Midbar
C,Becca Rausch,Ani Misham (Becca Rausch)
C,Itzik Cohen,Ani Misham (Itzik Cohen)
C,Elad Shtamer,Ani Mode
P,Victor Gabbay,Ani Mode Lach
C,Sharon Elkaslassy,Ani Nishar
P,Dani Dassa,Ani Nishba
P,Naftaly Kadosh,Ani Nishba (Miriam)
P,Avi Perez,Ani Nishba Lach
P,Shlomo Maman,Ani Nisheret Kan
P,Shlomo Maman,Ani Noseh Imi
C,Robin Starr,Ani Ohev Chocolat
C,Avi Perez,Ani Ohev Et Hachayim Haele
P,Tuvia Tishler,Ani Ohev Otach
P,Israel Yakovee,Ani Ohev Otach Leah (Otach Lea)
C,Moshe Telem,Ani Ohev Otach Yalda
C,Yehuda Emanuel,Ani Ole Liyerushalayim
C,Eddy Sasson,Ani Oseh Li Manginot (C)
L,Silvio Berlfein,"Ani Oseh Li Manginot (L, Silvio Berlfein)"
L,"Tata F., Alberto Zirlinger","Ani Oseh Li Manginot (L, Tata F., Alberto Zirlinger)"
C,Motti Elfasy,Ani Oseh Li Manginot (Ani Oseh Manginot)
C,Chagit Fuchs,Ani Rotse (C)
P,Avi Perez,Ani Rotse (P)
L,Oren Ashkenazi,Ani Rotseh Lazuz
P,Shlomo Maman,Ani Same'ach Bach
C,Avi Perez,Ani Shar Ani Kayam
P,Itzik Ben Dahan,Ani Shar Bishvilech
P,Gadi Bitton,Ani Shar Lach
C,Avi Perez,Ani Shar Lazman
P,Avi Levy,Ani Shata
P,Itzik Lezebnic,Ani Shelach (Itzik Lezebnic)
P,Gadi Bitton,Ani Shelach (Gadi Bitton)
P,Eli Ronen,Ani Shuv Mitahev
P,Hela Emanuel,Ani Ve'at Az
P,Yankale Levy,Ani Ve'at Baya'ar (Tsoheket Tsameret Hayar)
C,Avi Levy,Ani Ve'ata
C,Moshiko Halevy,Ani Vehabuzuki
P,Shlomo Bachar,Ani Vehasavta (Savta Banegev)
P,Eli Ronen,Ani Veshiri
C,David Ben David,Ani Vesimon Umo'iz Hakatan
P,Orly Setareh,Ani Yoda
P,Yaron Ben Simhon,Ani Yodea
P,Orly Setareh,Ani Yode'a
C,"Eran Bitton, Avi Levy",Ani Ze Ani
C,Shlomo Bachar,Ani Zechariya (Zachariya Ben Ezra)
P,Itzik Appleboim,Ani Zocher
C,Moshiko Halevy,Ani Zoher
C,Jonathan Gabay,An'im Zmirot (Shir Hakavod) (Jonathan Gabay)
C,Avner Naim,An'im Zmirot (Shir Hakavod) (Avner Naim)
C,Eli Segal,Anor Anor
C,Yoram Sasson,Anshei Hadmama
C,Israel Shiker,Anshei Hageshem (C)
P,Sefi Aviv,Anshei Hageshem (P)
C,Mitch Ginsburgh,Ansi Dize La Novia
L,Roi Fridman,Anti Albe
P,Shani Asor,April
L,Shulamit Rada,Arabica
PL,Emanuel Miranda,Arasando (Arrasando)
C,David Paletz,Arava Arava (Shir Habokrim) (David Paletz)
C,Dani Dassa,Arava Arava (Shir Habokrim) (Dani Dassa)
C,Gabi Swissa,Arava Arava (Shir Habokrim) (Gabi Swissa)
P,Barry Avidan,Arayot
L,Ariel Coral,Arba Dakot
C,Robin Starr,Arba Lifnot Boker (C)
P,Boaz Cohen,Arba Lifnot Boker (P)
C,Gadi Bitton,Arba Onot
P,Elad Shtamer,Arba Onot Veshir
C,Shlomo Bachar,Arbaim (Shlomo Bachar)
C,Yoni Carr,Arbaim (Yoni Carr)
P,Michael Barzelai,Arbaim Veshnayim Yom
P,American,Ari Ara
L,Aviv Ben Ishay,Ari Baba
C,Moshiko Halevy,Ariel
C,Boaz Cohen,Arim Roshi
C,Shlomo Maman,Aris
C,Rafi Ziv,Armon Zahav
P,David Zakay,Aromimcha
c,Ira Weisburd,Aromimcha Hashem
C, ,Artsa Alinu ( )
C,Yaakov Mariyoma,Artsa Alinu (Yaakov Mariyoma)
C,Tuvia Tishler,Artsi (Od Lo Tamu Kol Pileich)
C,Eli Ronen,Artsi Artsi
C,Oren Ashkenazi,Artsi Sheli
P,Ya'ir Harel,Arvei Bolonya
C,Israel Shiker,Arzenu Haktantonet
P,Moshiko Halevy,Asal
C,Eran Bitton,Asashiana
C,Avi Perez,Ase Imi Chesed
C,Itzik Ben Dahan,Ase Lema'anacha
L,Carina Saslavsky,Asereje
P,Bentzi Tiram,Ashbiacha (Kiria Yifefia) (Bentzi Tiram)
P,Yankale Levy,Ashbiacha (Kiria Yifefia) (Yankale Levy)
C,Didi Dosh,Ashdod
C,Eddy Sasson,Asher
C,Ira Weisburd,Asher Bara
C,Ira Weisburd,Asher Malach
C,Oren Shmuel,Ashir Beshirati
C,Naftaly Kadosh,Ashir Lachem (Shir Ashir Lachem)
C,Moshiko Halevy,Ashira La'Ha'Shem
C,Se'adia Amishai,Ashlayot
C,Eli Segal,Ashlayot Rabot
C,Shlomo Maman,Ashorer Shir
C,Dani Dassa,Ashrei Ha'ish (Dani Dassa)
C,Moshiko Halevy,Ashrei Ha'ish (Moshiko Halevy)
C,Yankale Levy,Ashreichem Israel
,Gert-Jan Van Ammerkate,Ashrey
C,Moshiko Halevy,Ashuri
L,Carina Saslavsky,Asi Es La Vida
C,Avi Perez,Asi'ach Levavi
C,"Yaron Ben Simhon, Gadi Bitton",Asinu Historia
C,Tamir Scherzer,Asiti
C,Ira Weisburd,Aspra Peristeri
P,Shlomo Maman,Asufim
P,Avi Levy,At (Avi Levy)
P,Gadi Bitton,At (Gadi Bitton)
P,Yaron Ben Simhon,At (Yaron Ben Simhon)
C,Rivka Sturman,At Adama (Rivka Sturman)
C,Shmulik Gov Ari,At Adama (Shmulik Gov Ari)
P,Yaron Malihi,At Ahavati
P,Yankale Levy,At Ani Veharu'ach (At Va'ani Veharu'ach)
C,Orly Setareh,At Bali Tov
P,"Eli Segal, Sefi Aviv",At Baneshama
C,Amir Katz,At Bat 16 (At Bat Shesh Esrey)
P,Naftaly Kadosh,At Bat Shesh Esrey (Your'e 16)
P,Victor Gabbay,At Belibi
P,Rafi Ziv,At Bemachshavotai (Eifo At)
P,Moshe Tawily,At Benishmati
C,Shlomo Maman,At Cheruti
P,Pnina Klein,At Doma Li
P,Yom Tov Ochayon,At Einech
P,Avi Perez,At Ha'achat Sheli
P,"Yoram Sasson, Eli Segal",At Hachalom
P,Kobi Michaeli,At Ha'isha Sheli (Haisha Sheli)
C,Yaron Malihi,At Haketsev Shel Chayay
P,"Leslie Asaraf, Yosi Cohen",At Halahit Sheli (P)
U,Yossi Cohen,At Halahit Sheli (U)
P,Oren Ashkenazi,At Hamachar Sheli
C,Avi Levy,At Haor (Or)
P,Nona Malki,At Ha'osher
P,Avi Perez,At Haosher Sheli (Avi Perez)
P,Moshe Tawily,At Haosher Sheli (Moshe Tawily)
P,Shmulik Gov Ari,At Haperach
C,Itzik Ben Dahan,At Harei Yoda'at
P,Shlomo Maman,At Hasiba
P,Victor Gabbay,At Hayechida (At)
C,Eyal Ozeri,At Holechet
P,Eli Segal,At Horeset Oti
C,Roni Siman Tov,At Kineret (Kineret)
C,Kobi Michaeli,At Kmo Esh
P,Sagi Azran,At Kmo Haru'ach
C,Moshiko Halevy,At Kmo Shir
C,Gadi Bitton,At Kol Chayai
P,Amnon Amram,At Kvar Lo Iti
C,Gadi Bitton,At Li Habayit
C,Benny Levy,At Li Or (C)
P,Avner Naim,At Li Or (P)
P,Ohad Atia,At Lo Mevina
P,Gadi Bitton,At Lo Nisheret Levad
C,Gadi Bitton,At Lo Ona (Lama Ma)
P,Chayim Shiryon,At Lo Po
P,Moshe Shem Tov-Tamar Epstein,At Lo Yadat
P,Moshe Tawily,At Malach (Moshe Tawily)
P,Avner Naim,At Malach (Avner Naim)
PW,Avner Naim,At Malach -Wh.Chair
P,Victor Gabbay,At Matrifa
P,Yaron Ben Simhon,At Me'iuchedet
p,Dudu Barzilay,At Nisheret
C,"Oren Ashkenazi, Victor Gabbay",At Noga'at Beneshama
P,Rafi Subara,At Omeret
C,Avi Levy,At Oti Shofetet
C,Oren Ashkenazi,At Rak Sheli
P,Yossi Azani,At Rechoka
P,Yossi Azani,At Rechokah
P,Yom Tov Ochayon,At Shehalacht
P,Dudu Barzilay,At Sheli Ani Shelach
PW,Dudu Barzilay,At Sheli Ani Shelach - Wh.Chair
C,Oren Bachar,At Shigat
P,Shlomo Maman,At Shir (Acharei Hakol At Shir)
C,Shari Moreno,At Shoma’at
C,Israel Shiker,At Telchi Basadeh (Haomnam)
C,Danny Uziel,At Va'ani (C)
P,Israel Shiker,At Va'ani (P)
PT,Rivka Sturman,At Va'ani Veharu'ach
C,Shlomo Bachar,At Yafa (C)
P,Itzik Sa'ada,At Yafa (P)
C,Benny Levy,At Yafa (Griz)
C,Oren Ashkenazi,Ata Achi
P,David Dassa,Ata Af Pa'am
C,Kobi Michaeli,Ata Belibi (C)
CK,Levi Bargil,Ata Belibi (CK)
P,Elad Shtamer,Ata Ha'ehad
C,Eyal Ozeri,Ata Hakochav
C,Rafi Ziv,Ata Hamelech
P,Gadi Bitton,Ata Holech Lishon Mukdam
C,Israel Shiker,Ata Imadi
C,Lena Ashkenazi,Ata Kadosh
C,Gadi Bitton,Ata korehLi
P,Shmulik Gov Ari,Ata Li Erets (Shmulik Gov Ari)
P,Peri Shachaf,Ata Li Erets (Peri Shachaf)
P,"Mali Lipson, Moshe","Ata Li Erets (Mali Lipson, Moshe)"
C,Ariel Coral,Ata Od Yeled
C,Shlomi Mordechai,Ata Ose Li Tov
C,Yaron Malihi,Ata Shebashamaim (Boreh Olam)
C,Israel Shabtai,Ata Shenatata (Hadvarim Hayafim Baolam)
C,Nurit Melamed,Ata Shomer
C,Nili Etzioni,Ata Totach (C)
CK,Zmira Shachar,Ata Totach (CK)
P,Nili El Gazar,Ata Ve'ani
C,Moshiko Halevy,Atari
L,Mona Goldstein,Atem Rokdim
C,Itzchak Atira,Atira Hu
PW, ,Atsei Hazaftsafot - Wh.Chair
P,Yankale Levy,Atsei Hazaftsafot (Zer Shel Narkasim)
C,Tzvi Fridhaber,Atsey Hagez
,Corinne Chochem,Atsey Shitim Omdim (Corinne Chochem)
,Dvora Lapson,Atsey Shitim Omdim (Dvora Lapson)
c,Shlomo Maman,Atsmaut
P,Karmela Shloma,Atuf Berachamim
C,Avi Amsalam,Av Harachaman (Avi Amsalam)
C,Ira Weisburd,Av Harachaman (Ira Weisburd)
C,Shmulik Gov Ari,Avadim Hayinu (C)
LK,Levi Bargil,Avadim Hayinu (LK)
C,Shmulik Gov Ari,Avak Hadrachim
P,Shmulik Gov Ari,Avak Shel Hachayim
P,Gadi Bitton,Aval Ahava
P,Eli Ronen,Aval At
P,Eli Ronen,Aval Machar Achazor
C,Oren Ashkenazi,Avarti Rak Kedei Lirot
P,Moshiko Halevy,Avdabak
C,Nurit Melamed,Avi
P,Naftaly Kadosh,Avi (Eynaich Mesaprot)
L,Moshiko Halevy,Avi Avi
C,Nurit Melamed,Avi Hatov Shebashamayim
P,Shmulik Gov Ari,Avigail
C,Victor Gabbay,Avinu Malkenu (Victor Gabbay)
C,Israel Yakovee,Avinu Malkenu (Israel Yakovee)
C,Israel Shiker,Avinu Malkenu (Israel Shiker)
C,Rafi Ziv,Avishag
C,David Edery,Aviv
P,Eli Ronen,Aviv Balev
C,Shlomo Maman,Aviv Israeli
C,Shlomo Bachar,Avivim
L,Moshiko Halevy,Avney Hahoshen
C,Shlomo Bachar,Avram Avinu (Avraham Avinu) (Shlomo Bachar)
C,Shmulik Gov Ari,Avram Avinu (Avraham Avinu) (Shmulik Gov Ari)
C,Roni Siman Tov,Avre Tu
C,Barry Avidan,Avremale Melamed
C,Avner Naim,Avshalom
C,"Israel Yakovee, Moti Menachem",A-Wa
P,Elad Shtamer,Ay
P,Eli Segal,Ay Ahavah (Ay Ha'avah)
P,David Edery,Ay Didi Dy
L,Chen Shporen,Ay Mama Que Paso (El Cuarto de Tula )
C,Shlomo Maman,Ayah
C,Marco Ben Shimon,Ayala (Ostaj Mi Zbogom Ljubavi)
C,Israel Yakovee,Ayale - King of Israel
c,Nurit Melamed,Ayeka
P,Eliyahu Gamliel,Ayelet Ahavim
P,Se'adia Amishai,Ayelet Chen (Se'adia Amishai)
P,Israel Yakovee,Ayelet Chen (Israel Yakovee)
P,Shmulik Gov Ari,Ayelet Chen (Shmulik Gov Ari)
P,Nir Dor,Ayelet Chen (Nir Dor)
P,Yaakov Mariyoma,Ayelet Hachen
C,Ayelet Bukai,Ayelet Hashahar (Reu Beori Shezoreach)
C,Moshiko Halevy,Ayuma
C,Amnon Sha'uli,Ayuma Behar Hamor
C,Shmulik Gov Ari,Ayumati
C,Fred Lerouge,Az Ani Holechet
C,Moshiko Halevy,Az Bar Nadam
C,Itzik Ben Dahan,Az Ma Im Hahu
P,Israel Shiker,Az Ma Im Hi Ohevet
P,Avi Levy,Az Mah
P,Gadi Bitton,Az Tirketi (Tirkedi)
P,Corinne Chochem,Az Tit'anag
P,"Oren Ashkenazi, Lena Ashkenazi",Az Yalla
C,Israel Shiker,Azkir Shevach La'el
L,Ilan Benedict,Azov Et Haego
L,"Karina Lambert, Ariadna Faerstein",Azov Oti
P,Eyal Ozeri,Ba Habaita
C,Nurit Melamed,Ba Haboker
C,Nona Malki,Ba Im Chiyuch
L,Yaron Elfasy,Ba Kalil (Bakalil)
L, ,Ba La (L)
PM,Meir Shem Tov,Ba La (PM)
L,Nourit Grinfeld,Ba La Lirkod
C,Dudu Barzilay,"Ba La, Ba La (Bala Bala)"
P,"Mali Lipson, Moshe",Ba Lehatsiya Et Libi
P,Itzik Ben Dahan,Ba Li
C,Shmulik Gov Ari,Ba Li (Machol Ha'amim)
P,Elron Reuveni,Ba Li Aleicha
L,"Chen Shporen, Ilai Szpiezak",Ba li Lirkod
P,Oren Ashkenazi,Ba Lo Halaila
P,Eran Cheruti,Ba Lo Halaila (Bo Nipagesh)
C,Avi Levy,Ba Min Hashtika
P,Aiyala Bumshtein,Ba'a Elai
C,Itzik Ben Dahan,Ba'ah Elechem
P,Tuvia Tishler,Ba'ah Me'ahava
C,Mussa Ashkenazi et al,Ba'ah Menucha
C,Bentzi Tiram,Ba'ah Menucha (Shir Ha'emek)
P,Ya'ir Menashe,Ba'aliyati Sham Yafati
C,Oren Shmuel,Ba'arets Hazot
C,Rafi Ziv,Ba'avar Hayu Zmanim (Hayu Zmanim)
P,Yo'av Ashriel,Ba'aviv Tashuvi Chazara
C,Moshiko Halevy,Ba'ayara
P,Mitch Ginsburgh,Baba Kosmi
L,Carina Saslavsky,Babel (Torre De Babel)
P,Victor Gabbay,Babustanim
L,Raanan Mor,Baby (Raanan Mor)
L,Chagig Podmaski,Baby (Chagig Podmaski)
L,Gideon Dan,Baby Baby
L,Dudu Sapir,Baby One More Time
p,Tamir Shalev,Bach Lo Noge'a
C,Ami Ben Shushan,Bachalom
P,Ariel Coral,Bachalomot Sheli
P,Shlomo Maman,Bachalomot Sheli Yesh Yam
C,Gadi Bitton,Bachatsotsros
C,Eli Ronen,Bachayim Hakol Over
C,Dudu Barzilay,Bachof Shel Portugal
C,Meir Shem Tov,Bachof Shel Trapatoni
P,Amnon Sha'uli,Bacholot
C,Yaron Ben Simhon,Bachom Shel Tel Aviv
C,Raaya Spivak,Bachorsha
P,Mitch Ginsburgh,Bachulsha Shelcha
C,Nona Malki,Bachur Bayshan (C)
P,Roni Siman Tov,Bachur Bayshan (P)
C,Tuvia Tishler,Bachur Chadash (Tuvia Tishler)
C,Yaron Ben Simhon,Bachur Chadash (Yaron Ben Simhon)
P,Yoram Sasson,Bachur Ragish
C,Israel Shiker,Bachur Same'ach
P,Eli Segal,Bachur Yafe Barchov
P,Israel Shiker,Bachuts Yored Ha'Geshem
L,Carmit Ben Chaim,Backazz
L, ,Bada Lata
C,Avner Naim,Badad (C)
P,Naftaly Kadosh,Badad (P)
P,Shlomo Maman,Baderech (Haderech)
C,Moshe Tawily,Baderech Chazarah
P,"Eli Ronen, Israel Shiker",Baderech Efrata (Rachel)
P,Shmulik Gov Ari,Baderech El Ha'eir
P,Ohad Atia,Baderech El Ha'osher
C,Marco Ben Shimon,Baderech El Hayam
C,Eli Segal,Baderech El Libi
P,Gadi Bitton,Baderech Elayich
P,Ran Hirsh,Baderech Hanechona
C,Barry Avidan,Baderech Ha'ola Lirushalayim
P,Naftaly Kadosh,Baderech Latavor
P,Elad Shtamer,Baderech Leveitech
P,Roni Siman Tov,Badmaot She'at Bocha
P,Yaron Malihi,Badrachim Shelach
P,Yaakov Dekel,Bagoren Beleyl Levana
C,Maurice Perez,Bahafla (Maurice Perez)
C,Naftaly Kadosh,Bahafla (Naftaly Kadosh)
C,Motti Elfasy,Bahazayot Hakesem
L,Carina Saslavsky,Baila Baila (Carina Saslavsky)
L,"Nurit Mendelson, Carina Saslavsky, Anne Milgram","Baila Baila (Nurit Mendelson, Carina Saslavsky, Anne Milgram)"
PL,Eyal Eliyahu,Bailamos
L,Gideon Dan,Bailando (Gideon Dan)
L,Orly Setareh,Bailando (Orly Setareh)
C,Oren Ashkenazi,Bakafe Shel Stelios
P,Itzik Azran,Bakahal Hachi Gadol
C,Benny Levy,Bakapayim (Benny Levy)
C,Shmulik Gov Ari,Bakapayim (Shmulik Gov Ari)
C,Bentzi Tiram,Bakerem
C,Moshe Eskayo,Bakramim
C,Amir Katz,Baktum
C,"Lior Cohen, Doron Cohen",Balada Al Sus
C,Tuvia Tishler,Balada Al Yoel
L,Lena Ashkenazi,Balada Boa
C,Shlomo Maman,Balada Lama'ayan (Balada Al Mayan Veyam)
C,Elron Reuveni,Balada Lanaeivit
P,Moshe Shem Tov,Balada Lane'ehevet
P,Yigal Triki,Balada Lasear Ha'aroch
C,Sefi Aviv,Balada Lashoter
U,Moshe Shem Tov,Balada Lenaeivit
C,Kobi Michaeli,Balagan
C,Gadi Bitton,Balaila (C)
P,Gadi Bitton,Balaila (P)
,Moshe Cohen,Balaila ()
P,Shalom Amar,Balaila Al Hadeshe
L,Shlomo Bachar,Balaila Bachatsot (L)
P,Beber Shushan,Balaila Bachatsot (P)
P,Eli Ronen,Balaila Shekaze
P,Avi Levy,Balaila Uvayom (Ani Ohev Otach)
C,Eli Segal,Balalaika
C,Yael Twito,Balbale
C,Boaz Cohen,Balbeli Oto
C,Israel Shiker,Baleilot (C)
P,Avner Naim,"Baleilot (P, Avner Naim)"
P,Roni Siman Tov,"Baleilot (P, Roni Siman Tov)"
P,Avi Levy,"Baleilot (P, Avi Levy)"
C,Avi Perez,Baleilot Ani Roked
P,Gadi Bitton,Balev
C,Moshiko Halevy,Balkan
L,Ira Weisburd,Ballando (Nuovo Mambo)
c,Arthur Hammer,Balonim
P,Eran Bitton,Bamakom Haze
L,Gadi Bitton,Bamboleo
L,Gideon Dan,Bamboleo Oh Ya Ya
P,Yaron Ben Simhon,Bamechonit Leyad Hayam
P,Moshiko Halevy,Bamishol
C,Itzik Sa'ada,Bamsila Libe'er Sheva
L,Carina Saslavsky,Banana
C,Gadi Bitton,Bandari
L,Nurit Melamed,Banot Banot
LK,Shira Waitzman,Banu Choshech Legaresh
C,Yoni Carr,Banu La'asot Same'ach
C,Victor Gabbay,Banu Leha'ir Et Ha'ir
C,Aaron Raphaeli,Bapardes Leyad Hashoket (Bapardes) (C)
P,Shalom Amar,Bapardes Leyad Hashoket (Bapardes) (P)
P,Ilai Szpiezak,Bar David David
C,Yaron Elfasy,Bar Yochai
C,Shmulik Gov Ari,Baraka
,Sefi Aviv,Barakia Hashvi'I (Harakia Hashvi'i)
c,Dudu Barzilay,Barbarim
L,Tzipi Cohen,Barbie
L,Levi Bargil,Barbie Girl
P,Avi Perez,Barcelona
C,Yankale Levy,Barcha Lakibuts
C,Eyal Ozeri,Barcheni
C,Oren Shmuel,Barchenu
C,Giora Kadmon,Barchi Nafshi (Giora Kadmon)
C,Eli Ronen,Barchi Nafshi (Eli Ronen)
C,Gadi Bitton,barchi nafshi (Gadi Bitton)
C,Dudu Barzilay,Barech
C,Shlomo Maman,Barech Aleinu (Shlomo Maman)
C,Shmulik Gov Ari,Barech Aleinu (Shmulik Gov Ari)
C,Shlomo Maman,Barech Et Ha'adam
C,Avi Perez,Barech Et Haolam
P,Gadi Bitton,Barega Hamachria
P, ,Barn Dance
C,Gadi Bitton,Baroch Ehehia
C,Gadi Bitton,Baruch Ehiyeh
CK,Levi Bargil,Baruch Ha'Ba Geshem
C,Michael Barzelai,Baruch Haba Labalagan
C,"Levi bar Gil, AndrÃ© Luis Schor",Baruch Haba Le Israel
C,"Chen Blum, Nurit Melamed",Baruch Hashem
P,Shmulik Gov Ari,Basadot Hayerukim
C,Dani Dassa,Basadot Hayerukim (Sadot Yerukim)
P,Moti Danino,Basadot Shel Hamoshav
C,Gadi Bitton,Basar VaDam
C,Dani Dassa,Baschuna (Rosh Ha'ayin)
P,Nurit Melamed,Baseret Hatamim (Nurit Melamed)
P,"Nurit Melamed, Shlomi Mordechai","Baseret Hatamim (Nurit Melamed, Shlomi Mordechai)"
P,Dani Dassa,Bashana Haba'ah
C,Israel Shiker,Bashavil El Habreichot
P,Avi Levy,Bashir Noge'a
P,Naftaly Kadosh,Bashniya Harishona
P,Chayim Ochayon,Bashura Hatachtona
C,Moshiko Halevy,Bashvilim
LK,Chen Shporen,Bassa Sababa
C,Victor Gabbay,Bastav
C,Danny Uziel,Bat Arad (C)
P,Bentzi Tiram,Bat Arad (P)
C,Avner Naim,Bat Argaman
P,Avner Naim,Bat Chemed
P,Shlomo Bachar,Bat Chen
, ,Bat Hachen
P,"Gadi Bitton, Victor Gabbay",Bat Hadayag (P)
U,Fredie Cohen,Bat Hadayag (U)
P,Tzvi Fridhaber,Bat Hakarmel
C,Meir Shem Tov,Bat Hakfar
C,Shmulik Gov Ari,Bat Hamidbar
C,Shalom Hermon,Bat Harim
C,Moshany A. Shemesh,Bat Hasultan
C,Eliyahu Gamliel,Bat Hazman
P,Sagi Azran,Bat Israel
P,Boaz Cohen,Bat Kdei Lalechet
P,Meir Shem Tov,Bat Li Mi'Shamayim
C,"Gadi Bitton, Dror Davidi",Bat Li Pitom
C,Israel Yakovee,Bat Melachim (Tsur Manoti)
P,Yuliya Michaeliyan,Bat Melech
C,Gadi Bitton,Bat Melech (Na'ara Bat Melech)
P,Sagi Azran,Bat Melech (Tfilat Hayalda)
c,Marcos Abulafia,Bat Shel Melech
C,Chayim Shiryon,Bat Shishim
CL,"Chayim Shiryon, Gadi Bitton",Bat Shishim Lamedina
C,Eyal Ozeri,Bat Shivim
C,Shlomo Maman,Bat Shlomo (Lital)
C,Yankale Levy,Bat Teiyman (Sifri)
PW, ,Bat Tsoana - Wh.Chair
P,Gadi Bitton,Bat Tsoaniya
P,Shalom Hermon,Bat Tsurim
P,Shalom Hermon,Bat Yiftach
C,Elad Shtamer,Bat Yonim
C,Tamir David,Batachana
CK,Yael Yaakovee,Batata
C,Shimon David,Batayelet (Hop Hop) (Shimon David)
C,Yehuda Emanuel,Batayelet (Hop Hop) (Yehuda Emanuel)
C,Yoram Rachmany,Batayelet (Hop Hop) (Yoram Rachmany)
C,"Oren Ashkenazi, Nurit Melamed",Batfilot Sheli
C,Eyal Ozeri,Bati Elecha
C,Yossi Azani,Ba'u Hazlilim
C,Rafi Ziv,Bayamim Sheya'avru Aleinu
C,"Beber Shushan, Mishael Barzilay, Shimon Assor",Bayit Biktse Hakeshet
C,Shmulik Gov Ari,Bayit Cham (Shabbat Menucha)
P,Ilan Swisa,Bayit Ze Itach
C,Shmulik Gov Ari,Baz Al Hamirpeset
C,Ohad Atia,Bazman Ha'acharon
C,Shlomo Maman,Be'ahava Uvemila Tova
L,Yoland Valency,Beat It
